"Gene_name","Gene_id","Transcript_id"
"DDX58","ENSG00000107201.9","ENST00000379883.2"
"EDF1","ENSG00000107223.12","ENST00000224073.5"
"PIP5K1B","ENSG00000107242.17","ENST00000265382.7"
"GLIS3","ENSG00000107249.21","ENST00000324333.14"
"BAG1","ENSG00000107262.18","ENST00000379704.7"
"RAPGEF1","ENSG00000107263.18","ENST00000372190.7"
"NPDC1","ENSG00000107281.9","ENST00000371601.4"
"APBA1","ENSG00000107282.7","ENST00000265381.6"
"SH3GL2","ENSG00000107295.9","ENST00000380607.4"
"PTGDS","ENSG00000107317.12","ENST00000371625.7"
"SHB","ENSG00000107338.9","ENST00000377707.3"
"UBE2R2","ENSG00000107341.4","ENST00000263228.3"
"ABHD17B","ENSG00000107362.13","ENST00000333421.6"
"EXOSC3","ENSG00000107371.12","ENST00000396521.3"
"ZFAND5","ENSG00000107372.12","ENST00000376960.8"
"DVL1","ENSG00000107404.19","ENST00000378891.9"
"PDLIM1","ENSG00000107438.8","ENST00000329399.6"
"CCNJ","ENSG00000107443.15","ENST00000265992.9"
"DNTT","ENSG00000107447.7","ENST00000371174.4"
"GATA3","ENSG00000107485.15","ENST00000379328.7"
"ATRNL1","ENSG00000107518.16","ENST00000355044.7"
"PHYH","ENSG00000107537.13","ENST00000263038.8"
"DNMBP","ENSG00000107554.16","ENST00000543621.6"
"RAB11FIP2","ENSG00000107560.10","ENST00000355624.7"
"CXCL12","ENSG00000107562.16","ENST00000343575.10"
"ERLIN1","ENSG00000107566.13","ENST00000421367.6"
"EIF3A","ENSG00000107581.12","ENST00000369144.7"
"PKD2L1","ENSG00000107593.16","ENST00000465680.2"
"CUBN","ENSG00000107611.14","ENST00000377833.8"
"TRDMT1","ENSG00000107614.21","ENST00000377799.7"
"DDX50","ENSG00000107625.12","ENST00000373585.7"
"SEC23IP","ENSG00000107651.12","ENST00000369075.7"
"ATE1","ENSG00000107669.17","ENST00000369043.7"
"NSMCE4A","ENSG00000107672.14","ENST00000369023.7"
"PLEKHA1","ENSG00000107679.14","ENST00000433307.2"
"PALD1","ENSG00000107719.8","ENST00000263563.6"
"UNC5B","ENSG00000107731.12","ENST00000373192.4"
"CDH23","ENSG00000107736.19","ENST00000619887.4"
"VSIR","ENSG00000107738.19","ENST00000470317.2"
"SPOCK2","ENSG00000107742.12","ENST00000317376.8"
"MICU1","ENSG00000107745.17","ENST00000361114.9"
"PPP3CB","ENSG00000107758.15","ENST00000394829.6"
"CCSER2","ENSG00000107771.15","ENST00000543283.2"
"MINPP1","ENSG00000107789.15","ENST00000371996.8"
"ACTA2","ENSG00000107796.13","ENST00000224784.10"
"LIPA","ENSG00000107798.17","ENST00000336233.9"
"TLX1","ENSG00000107807.12","ENST00000370196.10"
"TWNK","ENSG00000107815.7","ENST00000311916.6"
"LZTS2","ENSG00000107816.17","ENST00000370223.7"
"SFXN3","ENSG00000107819.13","ENST00000224807.9"
"KAZALD1","ENSG00000107821.14","ENST00000370200.5"
"FBXW4","ENSG00000107829.13","ENST00000331272.7"
"FGF8","ENSG00000107831.12","ENST00000618991.4"
"NPM3","ENSG00000107833.10","ENST00000370110.5"
"TNKS2","ENSG00000107854.5","ENST00000371627.4"
"PITX3","ENSG00000107859.9","ENST00000370002.7"
"GBF1","ENSG00000107862.4","ENST00000369983.3"
"CPEB3","ENSG00000107864.14","ENST00000412050.8"
"FBXL15","ENSG00000107872.12","ENST00000369956.6"
"CUEDC2","ENSG00000107874.10","ENST00000369937.4"
"SUFU","ENSG00000107882.11","ENST00000369902.7"
"ANKRD26","ENSG00000107890.16","ENST00000376087.4"
"ACBD5","ENSG00000107897.18","ENST00000396271.7"
"LHPP","ENSG00000107902.13","ENST00000368842.9"
"LARP4B","ENSG00000107929.14","ENST00000316157.7"
"BCCIP","ENSG00000107949.16","ENST00000278100.10"
"MTPAP","ENSG00000107951.14","ENST00000263063.8"
"NEURL1","ENSG00000107954.10","ENST00000369780.8"
"SH3PXD2A","ENSG00000107957.16","ENST00000355946.6"
"PITRM1","ENSG00000107959.15","ENST00000224949.8"
"STN1","ENSG00000107960.10","ENST00000224950.7"
"MAP3K8","ENSG00000107968.9","ENST00000375322.2"
"DKK1","ENSG00000107984.9","ENST00000373970.3"
"EBF3","ENSG00000108001.13","ENST00000368648.7"
"GLRX3","ENSG00000108010.11","ENST00000331244.9"
"SORCS1","ENSG00000108018.15","ENST00000612154.4"
"FAM208B","ENSG00000108021.19","ENST00000328090.9"
"XPNPEP1","ENSG00000108039.17","ENST00000502935.5"
"SMC3","ENSG00000108055.9","ENST00000361804.4"
"SHOC2","ENSG00000108061.11","ENST00000369452.8"
"TFAM","ENSG00000108064.10","ENST00000487519.5"
"CCDC6","ENSG00000108091.10","ENST00000263102.6"
"CUL2","ENSG00000108094.14","ENST00000421317.4"
"CCNY","ENSG00000108100.17","ENST00000374704.7"
"UBE2S","ENSG00000108106.13","ENST00000264552.13"
"RPL28","ENSG00000108107.14","ENST00000558131.1"
"ZMIZ1","ENSG00000108175.16","ENST00000334512.9"
"DNAJC12","ENSG00000108176.14","ENST00000225171.6"
"PPIF","ENSG00000108179.13","ENST00000225174.7"
"PBLD","ENSG00000108187.15","ENST00000358769.6"
"TSPAN14","ENSG00000108219.14","ENST00000616406.1"
"LGI1","ENSG00000108231.12","ENST00000371413.4"
"TBC1D12","ENSG00000108239.8","ENST00000225235.4"
"CYP2C18","ENSG00000108242.12","ENST00000285979.10"
"KRT23","ENSG00000108244.16","ENST00000209718.7"
"NUFIP2","ENSG00000108256.8","ENST00000225388.8"
"GIT1","ENSG00000108262.15","ENST00000225394.7"
"RPL19","ENSG00000108298.9","ENST00000225430.8"
"FBXL20","ENSG00000108306.11","ENST00000264658.10"
"UBTF","ENSG00000108312.14","ENST00000533177.5"
"CSF3","ENSG00000108342.12","ENST00000394149.7"
"PSMD3","ENSG00000108344.14","ENST00000264639.8"
"CASC3","ENSG00000108349.16","ENST00000264645.11"
"RAPGEFL1","ENSG00000108352.11","ENST00000264644.10"
"RGS9","ENSG00000108370.16","ENST00000449996.7"
"RNF43","ENSG00000108375.12","ENST00000583753.5"
"WNT3","ENSG00000108379.9","ENST00000225512.5"
"ASPA","ENSG00000108381.10","ENST00000263080.2"
"44078","ENSG00000108387.14","ENST00000393086.5"
"MTMR4","ENSG00000108389.9","ENST00000323456.9"
"TRIM37","ENSG00000108395.13","ENST00000262294.11"
"P2RX1","ENSG00000108405.3","ENST00000225538.3"
"DHX40","ENSG00000108406.9","ENST00000251241.8"
"KRT37","ENSG00000108417.3","ENST00000225550.3"
"TUBD1","ENSG00000108423.14","ENST00000346141.10"
"KPNB1","ENSG00000108424.9","ENST00000290158.8"
"GOSR2","ENSG00000108433.16","ENST00000640051.1"
"PNPO","ENSG00000108439.9","ENST00000225573.4"
"RPS6KB1","ENSG00000108443.13","ENST00000225577.8"
"TRIM16L","ENSG00000108448.20","ENST00000395671.8"
"CBX1","ENSG00000108468.14","ENST00000225603.8"
"GALK1","ENSG00000108479.11","ENST00000225614.6"
"INTS2","ENSG00000108506.11","ENST00000617492.4"
"MED13","ENSG00000108510.9","ENST00000397786.6"
"HOXB6","ENSG00000108511.9","ENST00000225648.3"
"ENO3","ENSG00000108515.17","ENST00000323997.10"
"PFN1","ENSG00000108518.7","ENST00000225655.5"
"RNF167","ENSG00000108523.15","ENST00000576965.1"
"SLC25A11","ENSG00000108528.13","ENST00000225665.11"
"RASD1","ENSG00000108551.4","ENST00000225688.3"
"CHRNE","ENSG00000108556.7","ENST00000293780.4"
"RAI1","ENSG00000108557.18","ENST00000353383.5"
"C1QBP","ENSG00000108561.8","ENST00000225698.8"
"BLMH","ENSG00000108578.14","ENST00000261714.10"
"CPD","ENSG00000108582.11","ENST00000225719.8"
"GOSR1","ENSG00000108587.15","ENST00000225724.9"
"CCDC47","ENSG00000108588.13","ENST00000225726.9"
"MED31","ENSG00000108590.10","ENST00000574128.1"
"DRG2","ENSG00000108591.9","ENST00000225729.7"
"FTSJ3","ENSG00000108592.16","ENST00000427159.6"
"AKAP10","ENSG00000108599.14","ENST00000225737.10"
"ALDH3A1","ENSG00000108602.17","ENST00000225740.10"
"SMARCD2","ENSG00000108604.15","ENST00000613943.4"
"ICAM2","ENSG00000108622.10","ENST00000579788.5"
"SYNGR2","ENSG00000108639.7","ENST00000588282.5"
"B9D1","ENSG00000108641.14","ENST00000261499.8"
"C17orf75","ENSG00000108666.9","ENST00000577809.5"
"PSMD11","ENSG00000108671.9","ENST00000261712.7"
"LGALS3BP","ENSG00000108679.12","ENST00000262776.7"
"ASIC2","ENSG00000108684.14","ENST00000225823.6"
"CCL7","ENSG00000108688.11","ENST00000378569.2"
"CCL2","ENSG00000108691.9","ENST00000225831.4"
"CCL8","ENSG00000108700.4","ENST00000394620.1"
"CCL1","ENSG00000108702.3","ENST00000225842.3"
"PEX12","ENSG00000108733.9","ENST00000225873.8"
"KRT32","ENSG00000108759.3","ENST00000225899.3"
"RAB5C","ENSG00000108774.14","ENST00000346213.8"
"NAGLU","ENSG00000108784.9","ENST00000225927.6"
"HSD17B1","ENSG00000108786.10","ENST00000585807.5"
"MLX","ENSG00000108788.11","ENST00000435881.6"
"CNTNAP1","ENSG00000108797.11","ENST00000264638.8"
"ABI3","ENSG00000108798.8","ENST00000225941.5"
"EZH1","ENSG00000108799.12","ENST00000428826.6"
"DLX4","ENSG00000108813.10","ENST00000240306.4"
"PPP1R9B","ENSG00000108819.10","ENST00000612501.1"
"COL1A1","ENSG00000108821.13","ENST00000225964.9"
"SGCA","ENSG00000108823.15","ENST00000262018.7"
"PTGES3L-AARSD1","ENSG00000108825.17","ENST00000409399.5"
"MRPL27","ENSG00000108826.15","ENST00000225969.8"
"VAT1","ENSG00000108828.15","ENST00000355653.7"
"LRRC59","ENSG00000108829.9","ENST00000225972.7"
"RND2","ENSG00000108830.9","ENST00000587250.3"
"ALOX12","ENSG00000108839.11","ENST00000251535.10"
"HDAC5","ENSG00000108840.15","ENST00000586802.5"
"LUC7L3","ENSG00000108848.15","ENST00000393227.6"
"PPY","ENSG00000108849.7","ENST00000225992.7"
"MPP2","ENSG00000108852.14","ENST00000377184.7"
"DUSP3","ENSG00000108861.8","ENST00000226004.7"
"CACNG1","ENSG00000108878.4","ENST00000226021.4"
"EFTUD2","ENSG00000108883.12","ENST00000592576.5"
"HLF","ENSG00000108924.13","ENST00000226067.9"
"SLC16A6","ENSG00000108932.11","ENST00000327268.8"
"PRKAR1A","ENSG00000108946.14","ENST00000358598.6"
"EFNB3","ENSG00000108947.4","ENST00000226091.2"
"YWHAE","ENSG00000108953.16","ENST00000571732.5"
"MMD","ENSG00000108960.7","ENST00000262065.7"
"RANGRF","ENSG00000108961.13","ENST00000226105.10"
"DPH1","ENSG00000108963.17","ENST00000263083.10"
"MAP2K6","ENSG00000108984.13","ENST00000589647.5"
"DHRS7B","ENSG00000109016.17","ENST00000579303.5"
"MYH1","ENSG00000109061.9","ENST00000226207.5"
"SLC9A3R1","ENSG00000109062.11","ENST00000262613.9"
"NAT9","ENSG00000109065.11","ENST00000357814.7"
"TMEM104","ENSG00000109066.13","ENST00000335464.9"
"VTN","ENSG00000109072.13","ENST00000226218.8"
"TNFAIP1","ENSG00000109079.9","ENST00000226225.6"
"IFT20","ENSG00000109083.13","ENST00000395418.7"
"TMEM97","ENSG00000109084.13","ENST00000226230.7"
"CDR2L","ENSG00000109089.7","ENST00000337231.5"
"PMP22","ENSG00000109099.13","ENST00000395938.6"
"FOXN1","ENSG00000109101.7","ENST00000226247.2"
"UNC119","ENSG00000109103.11","ENST00000335765.8"
"ALDOC","ENSG00000109107.13","ENST00000395321.6"
"SUPT6H","ENSG00000109111.14","ENST00000314616.10"
"RAB34","ENSG00000109113.18","ENST00000450529.5"
"PHF12","ENSG00000109118.13","ENST00000332830.8"
"PHOX2B","ENSG00000109132.6","ENST00000226382.3"
"TMEM33","ENSG00000109133.12","ENST00000504986.5"
"GABRA4","ENSG00000109158.10","ENST00000264318.3"
"GNRHR","ENSG00000109163.6","ENST00000226413.4"
"SLAIN2","ENSG00000109171.14","ENST00000512093.5"
"OCIAD1","ENSG00000109180.14","ENST00000264312.11"
"UGT2B10","ENSG00000109181.11","ENST00000265403.11"
"CWH43","ENSG00000109182.11","ENST00000226432.8"
"DCUN1D4","ENSG00000109184.14","ENST00000334635.9"
"USP46","ENSG00000109189.12","ENST00000451218.6"
"SULT1E1","ENSG00000109193.10","ENST00000226444.3"
"ODAM","ENSG00000109205.16","ENST00000396094.6"
"SMR3A","ENSG00000109208.4","ENST00000226460.4"
"CHIC2","ENSG00000109220.10","ENST00000263921.7"
"NMU","ENSG00000109255.11","ENST00000264218.7"
"KIAA1211","ENSG00000109265.13","ENST00000504228.5"
"PF4V1","ENSG00000109272.3","ENST00000226524.3"
"NFKB1","ENSG00000109320.11","ENST00000226574.8"
"AREG","ENSG00000109321.10","ENST00000395748.7"
"MANBA","ENSG00000109323.8","ENST00000226578.8"
"UBE2D3","ENSG00000109332.19","ENST00000394803.9"
"MAPK10","ENSG00000109339.19","ENST00000395157.8"
"ELF2","ENSG00000109381.19","ENST00000379550.5"
"UCP1","ENSG00000109424.3","ENST00000262999.3"
"TBC1D9","ENSG00000109436.7","ENST00000442267.2"
"ZNF330","ENSG00000109445.10","ENST00000262990.8"
"INPP4B","ENSG00000109452.12","ENST00000513000.5"
"GAB1","ENSG00000109458.8","ENST00000262995.8"
"KLHL2","ENSG00000109466.13","ENST00000226725.10"
"IL2","ENSG00000109471.4","ENST00000226730.4"
"CPE","ENSG00000109472.13","ENST00000402744.8"
"RPL34","ENSG00000109475.16","ENST00000394667.7"
"WFS1","ENSG00000109501.13","ENST00000226760.5"
"ANXA10","ENSG00000109511.11","ENST00000359299.7"
"GAR1","ENSG00000109534.16","ENST00000394631.7"
"FRG1","ENSG00000109536.11","ENST00000226798.8"
"CLCN3","ENSG00000109572.13","ENST00000513761.5"
"AADAT","ENSG00000109576.13","ENST00000337664.8"
"GALNT7","ENSG00000109586.11","ENST00000265000.8"
"DHX15","ENSG00000109606.12","ENST00000336812.4"
"SOD3","ENSG00000109610.5","ENST00000382120.3"
"SEPSECS","ENSG00000109618.11","ENST00000382103.6"
"CPZ","ENSG00000109625.18","ENST00000315782.6"
"TRIM2","ENSG00000109654.14","ENST00000338700.9"
"SLC2A9","ENSG00000109667.11","ENST00000264784.7"
"FBXW7","ENSG00000109670.13","ENST00000296555.9"
"NEIL3","ENSG00000109674.3","ENST00000264596.3"
"TBC1D19","ENSG00000109680.10","ENST00000264866.8"
"CLNK","ENSG00000109684.14","ENST00000226951.10"
"NSD2","ENSG00000109685.17","ENST00000382891.9"
"SH3D19","ENSG00000109686.17","ENST00000409252.6"
"NKX3-2","ENSG00000109705.7","ENST00000382438.5"
"GLRB","ENSG00000109738.10","ENST00000264428.8"
"BST1","ENSG00000109743.10","ENST00000265016.8"
"RAPGEF2","ENSG00000109756.8","ENST00000264431.8"
"SNX25","ENSG00000109762.15","ENST00000264694.12"
"LRP2BP","ENSG00000109771.15","ENST00000510776.5"
"UFSP2","ENSG00000109775.10","ENST00000264689.10"
"KLF3","ENSG00000109787.12","ENST00000261438.9"
"KLHL5","ENSG00000109790.16","ENST00000508137.6"
"FAM149A","ENSG00000109794.13","ENST00000514153.5"
"NCAPG","ENSG00000109805.9","ENST00000251496.6"
"UGDH","ENSG00000109814.11","ENST00000316423.10"
"PPARGC1A","ENSG00000109819.8","ENST00000264867.6"
"DDX25","ENSG00000109832.13","ENST00000525943.1"
"CRYAB","ENSG00000109846.7","ENST00000227251.7"
"DBX1","ENSG00000109851.6","ENST00000524983.2"
"HTATIP2","ENSG00000109854.13","ENST00000419348.6"
"CTSC","ENSG00000109861.15","ENST00000227266.9"
"CCDC34","ENSG00000109881.16","ENST00000328697.10"
"ZBTB16","ENSG00000109906.13","ENST00000335953.8"
"ELP4","ENSG00000109911.18","ENST00000638184.1"
"ZPR1","ENSG00000109917.10","ENST00000429220.5"
"MTCH2","ENSG00000109919.9","ENST00000302503.7"
"FNBP4","ENSG00000109920.12","ENST00000263773.9"
"TECTA","ENSG00000109927.9","ENST00000392793.5"
"SC5D","ENSG00000109929.9","ENST00000392789.2"
"CRTAM","ENSG00000109943.8","ENST00000533709.1"
"C11orf63","ENSG00000109944.10","ENST00000531316.1"
"B3GAT1","ENSG00000109956.12","ENST00000392580.5"
"HSPA8","ENSG00000109971.13","ENST00000227378.7"
"P2RX3","ENSG00000109991.8","ENST00000263314.2"
"VWA5A","ENSG00000110002.15","ENST00000392748.5"
"DNAJC4","ENSG00000110011.13","ENST00000321685.7"
"SIAE","ENSG00000110013.12","ENST00000545756.5"
"SNX15","ENSG00000110025.12","ENST00000377244.7"
"LPXN","ENSG00000110031.12","ENST00000395074.6"
"DTX4","ENSG00000110042.7","ENST00000227451.3"
"ATG2A","ENSG00000110046.12","ENST00000421419.3"
"EHD1","ENSG00000110047.17","ENST00000621096.4"
"OSBP","ENSG00000110048.11","ENST00000263847.5"
"UNC93B1","ENSG00000110057.7","ENST00000227471.6"
"PUS3","ENSG00000110060.8","ENST00000227474.7"
"DCPS","ENSG00000110063.8","ENST00000263579.4"
"KMT5B","ENSG00000110066.14","ENST00000304363.8"
"FOXRED1","ENSG00000110074.10","ENST00000263578.9"
"PPP6R3","ENSG00000110075.14","ENST00000393800.6"
"NRXN2","ENSG00000110076.18","ENST00000301894.6"
"MS4A4A","ENSG00000110079.16","ENST00000337908.4"
"ST3GAL4","ENSG00000110080.18","ENST00000444328.6"
"CPT1A","ENSG00000110090.12","ENST00000265641.9"
"CCND1","ENSG00000110092.3","ENST00000227507.2"
"CCDC86","ENSG00000110104.11","ENST00000227520.9"
"PRPF19","ENSG00000110107.8","ENST00000227524.8"
"TMEM109","ENSG00000110108.9","ENST00000227525.7"
"CCKBR","ENSG00000110148.9","ENST00000334619.6"
"HPX","ENSG00000110169.10","ENST00000265983.7"
"CHORDC1","ENSG00000110172.11","ENST00000457199.6"
"FOLR1","ENSG00000110195.12","ENST00000393676.4"
"ANAPC15","ENSG00000110200.8","ENST00000227618.8"
"FOLR3","ENSG00000110203.8","ENST00000611028.2"
"PANX1","ENSG00000110218.8","ENST00000227638.7"
"ARHGEF17","ENSG00000110237.3","ENST00000263674.3"
"APOA5","ENSG00000110243.11","ENST00000227665.8"
"APOA4","ENSG00000110244.6","ENST00000357780.4"
"APOC3","ENSG00000110245.11","ENST00000227667.7"
"CEP164","ENSG00000110274.15","ENST00000278935.7"
"RNF141","ENSG00000110315.6","ENST00000265981.6"
"CEP126","ENSG00000110318.13","ENST00000263468.12"
"EIF4G2","ENSG00000110321.16","ENST00000525681.5"
"IL10RA","ENSG00000110324.10","ENST00000227752.7"
"GALNT18","ENSG00000110328.5","ENST00000227756.4"
"BIRC2","ENSG00000110330.8","ENST00000532672.5"
"UBE4A","ENSG00000110344.9","ENST00000252108.7"
"DDX6","ENSG00000110367.11","ENST00000620157.4"
"UPK2","ENSG00000110375.2","ENST00000264031.2"
"CBL","ENSG00000110395.6","ENST00000264033.5"
"NECTIN1","ENSG00000110400.10","ENST00000264025.7"
"HIPK3","ENSG00000110422.11","ENST00000379016.7"
"KIAA1549L","ENSG00000110427.14","ENST00000321505.8"
"FBXO3","ENSG00000110429.13","ENST00000265651.7"
"PDHX","ENSG00000110435.11","ENST00000227868.8"
"SLC1A2","ENSG00000110436.11","ENST00000278379.7"
"SLC15A3","ENSG00000110446.10","ENST00000536491.1"
"CD5","ENSG00000110448.10","ENST00000347785.7"
"SCGB2A2","ENSG00000110484.6","ENST00000227918.2"
"MDK","ENSG00000110492.15","ENST00000395566.8"
"AMBRA1","ENSG00000110497.14","ENST00000533727.5"
"PTPMT1","ENSG00000110536.13","ENST00000326674.9"
"CARS","ENSG00000110619.17","ENST00000278224.13"
"SLC22A18","ENSG00000110628.13","ENST00000312221.9"
"CD81","ENSG00000110651.11","ENST00000263645.9"
"SLC35F2","ENSG00000110660.14","ENST00000525815.5"
"C11orf21","ENSG00000110665.11","ENST00000381153.7"
"ELMOD1","ENSG00000110675.12","ENST00000265840.11"
"CALCA","ENSG00000110680.12","ENST00000331587.8"
"SOX6","ENSG00000110693.17","ENST00000316399.10"
"C11orf58","ENSG00000110696.9","ENST00000228136.8"
"PITPNM1","ENSG00000110697.12","ENST00000534749.5"
"RPS13","ENSG00000110700.6","ENST00000525634.5"
"AIP","ENSG00000110711.9","ENST00000279146.7"
"NUP98","ENSG00000110713.15","ENST00000324932.11"
"NDUFS8","ENSG00000110717.12","ENST00000313468.9"
"TCIRG1","ENSG00000110719.9","ENST00000532635.5"
"CHKA","ENSG00000110721.11","ENST00000265689.8"
"EXPH5","ENSG00000110723.11","ENST00000265843.8"
"HPS5","ENSG00000110756.17","ENST00000396253.7"
"GTF2H1","ENSG00000110768.11","ENST00000265963.8"
"POU2AF1","ENSG00000110777.11","ENST00000393067.7"
"PTPN5","ENSG00000110786.17","ENST00000396166.7"
"PPFIBP1","ENSG00000110841.13","ENST00000228425.10"
"PRPF40B","ENSG00000110844.13","ENST00000380281.5"
"CD69","ENSG00000110848.8","ENST00000228434.7"
"PRDM4","ENSG00000110851.11","ENST00000228437.9"
"CLEC2B","ENSG00000110852.4","ENST00000228438.2"
"COQ5","ENSG00000110871.14","ENST00000288532.10"
"SELPLG","ENSG00000110876.9","ENST00000550948.1"
"CORO1C","ENSG00000110880.10","ENST00000261401.7"
"ASIC1","ENSG00000110881.11","ENST00000447966.6"
"DAO","ENSG00000110887.7","ENST00000228476.7"
"TSPAN11","ENSG00000110900.14","ENST00000261177.9"
"KCTD10","ENSG00000110906.12","ENST00000228495.10"
"MLEC","ENSG00000110917.7","ENST00000228506.7"
"MVK","ENSG00000110921.13","ENST00000228510.7"
"CSRNP2","ENSG00000110925.6","ENST00000228515.5"
"CAMKK2","ENSG00000110931.18","ENST00000392474.6"
"BIN2","ENSG00000110934.10","ENST00000615107.4"
"IL23A","ENSG00000110944.8","ENST00000228534.5"
"ATP5B","ENSG00000110955.8","ENST00000262030.7"
"PTGES3","ENSG00000110958.15","ENST00000262033.10"
"SYT10","ENSG00000110975.8","ENST00000228567.7"
"BCL7A","ENSG00000110987.8","ENST00000538010.5"
"MYF6","ENSG00000111046.3","ENST00000228641.3"
"MYF5","ENSG00000111049.3","ENST00000228644.3"
"LIN7A","ENSG00000111052.7","ENST00000552864.5"
"KRT18","ENSG00000111057.10","ENST00000388835.3"
"ACSS3","ENSG00000111058.7","ENST00000548058.5"
"TNS2","ENSG00000111077.17","ENST00000379902.7"
"GLI1","ENSG00000111087.9","ENST00000228682.6"
"PPM1H","ENSG00000111110.11","ENST00000228705.6"
"METAP2","ENSG00000111142.13","ENST00000551840.5"
"LTA4H","ENSG00000111144.9","ENST00000228740.6"
"ELK3","ENSG00000111145.7","ENST00000228741.7"
"SLC6A12","ENSG00000111181.12","ENST00000359674.8"
"WNT5B","ENSG00000111186.12","ENST00000310594.7"
"MAGOHB","ENSG00000111196.9","ENST00000539554.5"
"TRPV4","ENSG00000111199.10","ENST00000261740.6"
"ITFG2","ENSG00000111203.11","ENST00000228799.6"
"PRR4","ENSG00000111215.11","ENST00000228811.8"
"PRMT8","ENSG00000111218.11","ENST00000382622.3"
"PARP11","ENSG00000111224.13","ENST00000228820.8"
"ARPC3","ENSG00000111229.15","ENST00000228825.11"
"GPN3","ENSG00000111231.8","ENST00000228827.7"
"VPS29","ENSG00000111237.18","ENST00000360579.11"
"FGF6","ENSG00000111241.2","ENST00000228837.2"
"MYL2","ENSG00000111245.14","ENST00000228841.12"
"RAD51AP1","ENSG00000111247.14","ENST00000352618.8"
"CUX2","ENSG00000111249.13","ENST00000261726.10"
"SH2B3","ENSG00000111252.10","ENST00000341259.6"
"AKAP3","ENSG00000111254.7","ENST00000545990.6"
"MANSC1","ENSG00000111261.13","ENST00000396349.3"
"KCNA1","ENSG00000111262.5","ENST00000639680.1"
"DUSP16","ENSG00000111266.8","ENST00000298573.8"
"CREBL2","ENSG00000111269.2","ENST00000228865.2"
"ACAD10","ENSG00000111271.14","ENST00000313698.8"
"CDKN1B","ENSG00000111276.10","ENST00000228872.8"
"GPRC5D","ENSG00000111291.8","ENST00000396333.3"
"NAA25","ENSG00000111300.9","ENST00000261745.8"
"GSG1","ENSG00000111305.18","ENST00000351606.10"
"SCNN1A","ENSG00000111319.12","ENST00000228916.6"
"LTBR","ENSG00000111321.10","ENST00000228918.8"
"OGFOD2","ENSG00000111325.16","ENST00000228922.11"
"CDK2AP1","ENSG00000111328.6","ENST00000618072.4"
"OAS3","ENSG00000111331.12","ENST00000228928.11"
"OAS2","ENSG00000111335.12","ENST00000392583.6"
"ART4","ENSG00000111339.10","ENST00000228936.4"
"MGP","ENSG00000111341.9","ENST00000228938.5"
"ARHGDIB","ENSG00000111348.8","ENST00000228945.8"
"GTF2H3","ENSG00000111358.13","ENST00000543341.6"
"EIF2B1","ENSG00000111361.12","ENST00000424014.6"
"DDX55","ENSG00000111364.15","ENST00000238146.8"
"SLC38A1","ENSG00000111371.15","ENST00000398637.9"
"RERGL","ENSG00000111404.6","ENST00000538724.5"
"ENDOU","ENSG00000111405.8","ENST00000229003.7"
"C12orf49","ENSG00000111412.5","ENST00000261318.4"
"VDR","ENSG00000111424.10","ENST00000549336.5"
"FZD10","ENSG00000111432.4","ENST00000539839.1"
"RFC5","ENSG00000111445.13","ENST00000392542.6"
"STX2","ENSG00000111450.13","ENST00000261653.10"
"ADGRD1","ENSG00000111452.12","ENST00000335486.10"
"COPZ1","ENSG00000111481.9","ENST00000262061.6"
"TBC1D30","ENSG00000111490.12","ENST00000542120.5"
"CAND1","ENSG00000111530.12","ENST00000544619.1"
"IL26","ENSG00000111536.4","ENST00000229134.4"
"IFNG","ENSG00000111537.4","ENST00000229135.3"
"RAB5B","ENSG00000111540.15","ENST00000553116.5"
"MDM1","ENSG00000111554.14","ENST00000411698.6"
"NUP107","ENSG00000111581.9","ENST00000539906.5"
"CNOT2","ENSG00000111596.11","ENST00000418359.7"
"CPSF6","ENSG00000111605.16","ENST00000435070.6"
"MRPL51","ENSG00000111639.7","ENST00000543959.5"
"GAPDH","ENSG00000111640.14","ENST00000396859.5"
"NOP2","ENSG00000111641.11","ENST00000322166.9"
"ACRBP","ENSG00000111644.7","ENST00000229243.6"
"UHRF1BP1L","ENSG00000111647.12","ENST00000545232.6"
"COPS7A","ENSG00000111652.9","ENST00000534877.5"
"ING4","ENSG00000111653.19","ENST00000396807.8"
"CDCA3","ENSG00000111665.11","ENST00000422785.7"
"CHPT1","ENSG00000111666.10","ENST00000229266.7"
"USP5","ENSG00000111667.13","ENST00000389231.9"
"TPI1","ENSG00000111669.14","ENST00000396705.9"
"GNPTAB","ENSG00000111670.14","ENST00000299314.11"
"SPSB2","ENSG00000111671.9","ENST00000524270.5"
"ENO2","ENSG00000111674.8","ENST00000229277.5"
"ATN1","ENSG00000111676.14","ENST00000356654.8"
"C12orf57","ENSG00000111678.10","ENST00000229281.5"
"LPCAT3","ENSG00000111684.10","ENST00000261407.8"
"NT5DC3","ENSG00000111696.11","ENST00000392876.7"
"SLCO1B3","ENSG00000111700.12","ENST00000261196.6"
"APOBEC1","ENSG00000111701.6","ENST00000229304.4"
"SUDS3","ENSG00000111707.11","ENST00000543473.1"
"GOLT1B","ENSG00000111711.9","ENST00000229314.9"
"GYS2","ENSG00000111713.2","ENST00000261195.2"
"LDHB","ENSG00000111716.12","ENST00000350669.5"
"PRKAB1","ENSG00000111725.10","ENST00000229328.9"
"CMAS","ENSG00000111726.12","ENST00000229329.6"
"HCFC2","ENSG00000111727.11","ENST00000229330.8"
"CLEC4A","ENSG00000111729.13","ENST00000229332.10"
